case,mode,path,selected,recognition,all68,central_chin,eyes,inner_face,lower_face,mouth,nose,outline,roll_delta_deg,person_b,outside_support_changes,peak_rss_mib,human_approved
case02,A_baseline,standard,False,0.8463764190673828,0.031169315124975547,0.036832830813114524,0.006291308974801229,0.016986169411587024,0.03741873712869209,0.02021101356424723,0.01731936010483558,0.07722110427717539,0.1411294937133789,True,16927,434.47265625,False
case02,A_baseline,strict,True,0.8664218187332153,0.03579419607621752,0.06503373205972261,0.006009114901184084,0.021537358193704552,0.04882787707766096,0.029547136963235097,0.015163881456857918,0.0862405404059949,0.22659587860107422,True,16929,434.47265625,False
case02,B_mask,standard,True,0.8381853103637695,0.03125412003598312,0.04141048178698618,0.004162378752802289,0.017668260997545707,0.04102247407444631,0.02615044361264664,0.01597141247561803,0.0762015008200202,0.09116077423095703,True,66366,482.68359375,False
case02,B_mask,strict,False,0.8180630803108215,0.03037406814510998,0.03445259435694322,0.003468831011182927,0.015243684610832777,0.03745075377192178,0.02040858310798925,0.008499065444815476,0.07915502635019638,0.07384586334228516,True,66472,482.68359375,False
case02,C_core,standard,True,0.8552160859107971,0.034340445360533295,0.0288090145952066,0.005524694231054617,0.021213344139547348,0.042478226364777744,0.029295491772027928,0.020799062743761042,0.07506216145684279,0.42237377166748047,True,10519,403.7265625,False
case02,C_core,strict,False,0.8577855825424194,0.033415616302030715,0.027904858855105005,0.006352171981929747,0.020638734342524608,0.04042382472527488,0.027416802046574616,0.017656389683883843,0.07302851944747497,0.36101627349853516,True,10519,403.7265625,False
case02,D_mask_core,standard,True,0.8630213737487793,0.028307187460106277,0.027026868659110092,0.00466206153501286,0.01406263773697386,0.034013318393518024,0.01843520748459188,0.013230253761080724,0.07332864208635112,0.05249595642089844,True,0,403.2578125,False
case02,D_mask_core,strict,False,0.8558714389801025,0.027901236828996936,0.030697637005432182,0.0039843006520825985,0.013852518799613802,0.033213340600261196,0.01652154808901932,0.01230263186799695,0.07302005883582018,0.1397237777709961,True,0,403.2578125,False
case02,E_mask_frequency,standard,True,0.8610251545906067,0.032044810059186586,0.025794113453037226,0.004116406227775632,0.018145195761618164,0.03553859060241968,0.02106064476885471,0.01733546088547237,0.07509346195625993,0.22958946228027344,True,0,403.3515625,False
case02,E_mask_frequency,strict,False,0.8627383708953857,0.027598370575361166,0.029573895689577523,0.004483992735105141,0.01349037773425493,0.03283756716874883,0.016498589197908243,0.010762123729413075,0.07276061697314859,0.051242828369140625,True,0,403.3515625,False
case04,A_baseline,standard,True,0.8282375931739807,0.025784819329315617,0.03561413112343304,0.008708703540710008,0.018220844331724943,0.02751197385155632,0.016801599142352498,0.011196949788657594,0.05154614787356553,1.8834896087646484,True,12463,405.1875,False
case04,A_baseline,strict,False,0.8157366514205933,0.033596392479889554,0.05444560982580491,0.009033780174110051,0.02533648071473919,0.040815388921329424,0.029122507593700376,0.01880668315346751,0.06351303291258753,1.5883493423461914,True,12495,405.1875,False
case04,B_mask,standard,False,0.8907602429389954,0.015130826849438676,0.02010112675810491,0.002338334746926207,0.006823870991685193,0.016846222471456573,0.005887960682835732,0.005031417252695888,0.04239473955794966,4.401487827301025,True,56648,443.890625,False
case04,B_mask,strict,True,0.903997540473938,0.012809210748343566,0.02035422857590007,0.0025935712340046622,0.00770921987729335,0.014436277151853106,0.007191466881805972,0.007363148356172793,0.03034065548477775,4.536999225616455,True,57504,443.890625,False
case04,C_core,standard,True,0.8167746067047119,0.0228362167824274,0.027151649757283004,0.008619976877577491,0.015463144363823947,0.020267296581658944,0.01046610111129769,0.010975158621719366,0.04701811146061291,2.088315010070801,True,7605,398.3125,False
case04,C_core,strict,False,0.814502477645874,0.0238186879968425,0.02801144226883583,0.009120337438038053,0.016221339428799577,0.020279112751756187,0.010017832553239788,0.011626752652028893,0.04869134008450708,2.233475685119629,True,7614,398.3125,False
case04,D_mask_core,standard,True,0.9418209791183472,0.014131278139143569,0.01147510135742414,0.003198014934547843,0.006151789764741573,0.012422457421850311,0.005682795570673892,0.005943626643333525,0.039009151190470014,4.346286773681641,True,0,387.2578125,False
case04,D_mask_core,strict,False,0.9376111626625061,0.012905740246397282,0.019404230377510517,0.003583101613024791,0.007142230156518177,0.012233358258054404,0.005912080242287562,0.005843173140494058,0.032360152907974414,4.493924617767334,True,0,387.2578125,False
case04,E_mask_frequency,standard,True,0.9466047883033752,0.013311491190802436,0.019970522495662554,0.0029400391663944384,0.005635371759105471,0.010723103373644861,0.002778285039621674,0.00484007702329983,0.03886958196881517,4.381272792816162,True,0,389.30859375,False
case04,E_mask_frequency,strict,False,0.9454566240310669,0.012575172481369207,0.02198190103403695,0.002666651787108809,0.005480230558835345,0.010476418702569438,0.003071289716642449,0.004788805096248391,0.03677205774459461,4.61529541015625,True,0,389.30859375,False
